# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
-2340.57142857 -0.000712610318776 -0.000212786531468 0.000216736252145 -0.00073335696469
-2290.77203647 3.22062384181e-05 0.000151353475615 -0.000152963433168 3.61077558028e-05
-2240.97264438 -4.13689133067e-05 -9.95609941335e-05 0.0001034165415 -4.26483846077e-05
-2191.17325228 -8.41995547295e-05 -4.61021588684e-05 4.74542932396e-05 -8.5028772034e-05
-2141.37386018 -0.000155854060168 -2.32852262198e-05 2.416320193e-05 -0.000157405140194
-2091.57446809 -0.000161011908867 0.00023838702657 -0.000239986094325 -0.000161650340261
-2041.77507599 0.000108105816319 0.000222605267355 -0.000223045547764 0.000109989540362
-1991.97568389 0.000175764367386 0.000118108543384 -0.000117438709166 0.000177134526725
-1942.17629179 0.000223911840776 2.1600655184e-05 -1.96423775437e-05 0.000225080228565
-1892.3768997 0.000246574463038 -8.61682098577e-05 8.82227417215e-05 0.000248336158693
-1842.5775076 0.000143359504747 -0.000172163239254 0.000175560326358 0.000143373147593
-1792.7781155 4.59757070943e-05 -0.00017182260279 0.000175217064158 4.57089084177e-05
-1742.9787234 -2.41995147463e-05 -0.000138164512643 0.000140347206331 -2.63924006053e-05
-1693.17933131 -4.59926032595e-05 -0.000105300584073 0.000107880595854 -4.78158614063e-05
-1643.37993921 -5.70296578217e-05 -8.06809271948e-05 8.24052805629e-05 -5.96557466543e-05
-1593.58054711 -8.23829779857e-05 -5.54993920047e-05 5.75264195486e-05 -8.52496938993e-05
-1543.78115502 -8.11013080571e-05 -1.52704905285e-05 1.59076542388e-05 -8.45991753886e-05
-1493.98176292 -5.99839346794e-05 5.94324704131e-06 -5.0006747089e-06 -6.31897926858e-05
-1444.18237082 -4.65324752996e-05 2.38393943412e-05 -2.42365406328e-05 -4.98675172358e-05
-1394.38297872 -2.63261358702e-05 2.53294655799e-05 -2.54687256051e-05 -2.9064341034e-05
-1344.58358663 -1.66889060704e-05 1.43934314723e-05 -1.54279013413e-05 -1.91688387671e-05
-1294.78419453 -1.05383421471e-05 7.96713340599e-06 -7.77722550169e-06 -1.27251915747e-05
-1244.98480243 -1.56025388718e-05 -4.52982250321e-06 3.92039434952e-06 -1.78035747936e-05
-1195.18541033 -2.1906788209e-05 -3.04993903377e-06 3.85033038336e-06 -2.46540928144e-05
-1145.38601824 -2.85979494206e-05 2.87123996203e-06 -3.59435558095e-06 -3.14042786633e-05
-1095.58662614 -2.60956509126e-05 1.58559881997e-05 -1.57500417776e-05 -2.9001259399e-05
-1045.78723404 -1.68306945127e-05 1.34115681632e-05 -1.46055420822e-05 -1.9879778299e-05
-995.987841945 -1.47544989687e-05 1.58335828651e-05 -1.556209374e-05 -1.71082990218e-05
-946.188449848 -3.47047373405e-06 1.22449748e-05 -1.33171019905e-05 -6.90079339034e-06
-896.389057751 -8.6822789703e-06 1.58516464438e-05 -1.63536452529e-05 -1.07383677029e-05
-846.589665653 -3.65208620433e-07 1.3107142246e-05 -1.33471237335e-05 -4.79380769139e-06
-796.790273556 5.23304892621e-07 2.68034050756e-06 -4.72740463853e-06 -2.35322168395e-06
-746.990881459 -8.42916515724e-06 5.96717789392e-06 -6.30360586231e-06 -1.09706997401e-05
-697.191489362 -3.73612285878e-06 1.27664302772e-05 -1.32999801787e-05 -8.02261644813e-06
-647.392097264 -3.04990728468e-06 8.48456076589e-06 -9.63788121921e-06 -7.78736511671e-06
-597.592705167 -8.5736057124e-07 7.85647533877e-06 -1.00004314083e-05 -5.28872963856e-06
-547.79331307 -1.0210249067e-06 7.27569194162e-06 -9.49448190908e-06 -5.29108740631e-06
-497.993920973 -2.09708042424e-07 6.40105086012e-06 -8.79845308282e-06 -5.04144445363e-06
-448.194528875 1.09468841405e-07 6.54143522549e-06 -9.58551210856e-06 -5.09073006484e-06
-398.395136778 2.31639096818e-07 5.42539417077e-06 -9.42391923716e-06 -5.19890517859e-06
-348.595744681 1.82553592949e-06 5.68037293608e-06 -1.06096279291e-05 -2.60543082397e-06
-298.796352584 2.08134558566e-06 5.28732228296e-06 -9.48673295573e-06 -3.02218803103e-06
-248.996960486 3.30696940557e-06 4.38789720628e-06 -9.41238783039e-06 -1.96179473337e-06
-199.197568389 3.55322529634e-06 3.41838773853e-06 -9.45967915208e-06 -1.84128707986e-06
-149.398176292 3.78177342607e-06 2.39664758195e-06 -9.53575704028e-06 -1.40186063307e-06
-99.5987841945 3.8675622702e-06 1.42497950824e-06 -9.54054528207e-06 -8.51656010094e-07
-49.7993920973 3.74230514388e-06 5.74114066179e-07 -9.43183428575e-06 -3.76728637437e-07
